id,Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Population,Average Cost,Expenditure,Average Faculty Salary,Median Debt,Median Family Income,Median Earnings
p1010,University of Utah,Public,Rocky Mountains,Mid-size City,82,24,1109,23273,19048,12835,7764,12839,32294,44300
p501,Oklahoma Christian University,Private,Southwest,Large City,63,25,1124,1949,29359,8096,6581,15331,70327,33200
p508,Whittier College,Private,Far West,Large Suburb,63,23,1043,1651,49920,11366,8954,21500,75319,38900
p1012,Western New England University,Private,New England,Mid-size City,82,24,1077,2648,45850,9876,9269,20159,87684,48400
p110,Brandeis University,Private,New England,Small City,37,30,1347,3603,58850,14309,11328,26000,97995,47400
p103,Berklee College of Music,Private,New England,Large City,36,0,0,4402,56335,20301,9480,21046,79421,26200
p241,Southern University at New Orleans,Public,Southeast,Large City,49,17,808,1782,10889,10302,5830,18442,16097,26100
p1196,The Evergreen State College,Public,Far West,Mid-size Suburb,97,24,1081,4017,21433,8580,7679,14830,26490,28900
p17,Pomona College,Private,Far West,Large Suburb,14,33,1454,1587,57014,34930,12326,8561,63215,43100
p378,Bay Path College,Private,New England,Large Suburb,58,20,964,1454,40447,6148,7754,18065,45278,37500
p377,Whitman College,Private,Far West,Small City,57,30,1327,1525,54865,18262,8715,14600,93725,37900
p196,St Thomas University,Private,Southeast,Large Suburb,46,19,904,1035,37090,7162,9486,16500,35584,41600
p954,Arizona State University-Tempe,Public,Southwest,Mid-size City,80,25,1145,38480,21960,9080,10405,16250,43477,41200
p1061,Regent University,Private,Southeast,Large City,85,22,1067,2286,26825,8194,7404,18500,35970,39500
p173,University of California-Santa Barbara,Public,Far West,Mid-size Suburb,44,27,1212,19362,31913,10571,13048,15000,51240,45600
p416,Stetson University,Private,Southeast,Mid-size Suburb,59,26,1168,2711,49939,11448,9877,18050,64137,36500
p140,LeTourneau University,Private,Southwest,Small City,41,26,1175,2173,37031,7550,7287,23250,44614.5,44500
p921,Radford University,Public,Southeast,Small City,78,20,980,8866,19987,7821,7705,15000,73931,38900
p179,Newman University,Private,Great Plains,Large City,45,24,1079,1276,33524,4504,5684,16945,43838,39500
p775,Houston Baptist University,Private,Southwest,Large City,73,24,1075,2165,36095,7357,6504,12500,34306,41700
p855,College of Saint Benedict,Private,Great Plains,Mid-size Suburb,76,26,1157,2051,47734,10965,8036,23250,94964,45200
p932,Bridgewater State University,Public,New England,Large Suburb,79,22,991,9489,19303,5426,8315,19250,72560,39100
p471,Clark University,Private,New England,Mid-size City,62,0,0,2312,47248,10780,9630,23000,75720.5,38800
p33,University of Southern California,Private,Far West,Large City,20,31,1380,18087,59787,42077,13045,21500,42938,62300
p918,Lynn University,Private,Southeast,Small City,78,20,940,1732,48735,9124,5194,13000,56163,34400
p274,Concordia University-Saint Paul,Private,Great Plains,Large City,52,21,991,1927,40267,5381,4358,16667,57993.5,44700
p293,Lipscomb University,Private,Southeast,Large City,53,25,1149,2874,37181,10013,7138,14500,79148,35500
p646,Shorter University,Private,Southeast,Small City,68,21,954,1518,30642,5532,5154,25250,48847,43000
p632,California State University-Los Angeles,Public,Far West,Large City,68,18,871,19525,14747,6569,8767,12000.5,20015,39400
p739,Endicott College,Private,New England,Large Suburb,72,23,1070,2621,44177,5860,8415,23250,109499.5,43800
p466,University of South Carolina-Columbia,Public,Southeast,Mid-size City,61,27,1200,23987,23685,10384,9514,19125,63282.5,38700
p670,Texas A & M University-College Station,Public,Southwest,Small City,69,26,1182,43931,20819,13297,10287,16566.5,71288,49000
p244,University of Central Florida,Public,Southeast,Large Suburb,49,26,1175,50919,19815,5403,8646,15000,38367.5,39300
p153,Occidental College,Private,Far West,Large City,42,29,1303,2101,60655,16465,10402,20900,67714.5,41100
p14,Duke University,Private,Southeast,Mid-size City,13,32,1444,6501,59528,51653,14288,6569,73265,69400
p1022,Iowa State University,Public,Great Plains,Small City,83,25,1145,27112,18820,9170,10027,19750,73557,43500
p594,University of Southern Mississippi,Public,Southeast,Small City,66,24,1082,12371,18781,7858,7109,16600,29062,33200
p188,California State University-Fullerton,Public,Far West,Large Suburb,46,22,1021,33000,16663,7685,8521,12900.5,31500,40500
p876,University of Hawaii-West Oahu,Public,Far West,Large Suburb,76,19,891,2192,9874,9141,8488,8045,21363,37400
p137,Catawba College,Private,Southeast,Mid-size Suburb,41,0,985,1273,37818,7026,6342,16500,61774,34400
p491,California State University-San Marcos,Public,Far West,Large Suburb,63,21,966,10689,20386,8553,8357,14000,31166,40500
p1165,University of the Incarnate Word,Private,Southwest,Large City,93,21,967,6346,34487,6728,7616,19500,41999,41600
p326,Georgia State University,Public,Southeast,Large City,55,23,1060,24128,23124,7273,7149,17070,38306,37500
p07,Brown University,Private,New England,Mid-size City,9,32,1425,6182,58140,30823,13381,15164,84559,54400
p1093,Saint Cloud State University,Public,Great Plains,Small City,87,22,1010,11535,17892,6521,8224,15348,66431,38700
p525,King University,Private,Southeast,Small City,64,23,1039,2121,36533,4357,4703,17910,52011,39900
p792,University of Great Falls,Private,Rocky Mountains,Small City,73,0,0,1032,31310,3952,4857,13554,31885,29800
p32,Albany State University,Public,Southeast,Small City,20,19,887,3566,19025,7089,5607,24500,29794,27900
